REGION,PROVINCE,POP DENSITY,NO. OF PRIVATE FACILITIES,NO. OF GOVERNMENT FACILITIES
REGION VIII (EASTERN VISAYAS),BILIRAN,335,7,63
REGION VIII (EASTERN VISAYAS),CITY OF TACLOBAN,"1,249",51,41
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,103,24,179
REGION VIII (EASTERN VISAYAS),LEYTE,280,124,442
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,173,22,222
REGION VIII (EASTERN VISAYAS),SAMAR,131,34,224
REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,238,24,147
REGION X (NORTHERN MINDANAO),BUKIDNON,147,76,542
REGION X (NORTHERN MINDANAO),CAMIGUIN,384,3,51
REGION X (NORTHERN MINDANAO),CITY OF CAGAYAN DE ORO,"1,765",72,128
REGION X (NORTHERN MINDANAO),CITY OF ILIGAN,446,32,53
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,216,14,284
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,308,49,309
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,306,27,447
REGION XI (DAVAO REGION),CITY OF DAVAO,727,305,263
REGION XI (DAVAO REGION),DAVAO DE ORO,168,32,290
REGION XI (DAVAO REGION),DAVAO DEL NORTE,329,105,286
REGION XI (DAVAO REGION),DAVAO DEL SUR,314,62,274
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,147,9,118
REGION XI (DAVAO REGION),DAVAO ORIENTAL,101,18,242
REGION XII (SOCCSKSARGEN),CITY OF GENERAL SANTOS,"1,415",109,45
REGION XII (SOCCSKSARGEN),COTABATO,160,103,511
REGION XII (SOCCSKSARGEN),SARANGANI,230,10,176
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,257,86,274
REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,159,57,290
REGION XIII (CARAGA),AGUSAN DEL NORTE,148,26,189
REGION XIII (CARAGA),AGUSAN DEL SUR,74,35,247
REGION XIII (CARAGA),CITY OF BUTUAN,457,61,107
REGION XIII (CARAGA),DINAGAT ISLANDS,157,2,95
REGION XIII (CARAGA),SURIGAO DEL NORTE,274,29,288
REGION XIII (CARAGA),SURIGAO DEL SUR,130,22,370
