Facility Name,Health Facility Type
SULIT MEDLAB CLINIC - TAÑONG,General Clinical Laboratory
TAÑONG HEALTH CENTER,Rural Health Unit
THE BEST RENAL CARE INC.,Dialysis Clinic
TINAJEROS HEALTH CENTER,Rural Health Unit
TONSUYA SUPER HEALTH CENTER,Rural Health Unit
TUGATOG HEALTH CENTER,Rural Health Unit
V. TONGCO MEDICAL & DIAGNOSTIC CLINIC,General Clinical Laboratory
NATIONAL CENTER FOR MENTAL HEALTH,Hospital
DR. VICTOR R. POTENCIANO MEDICAL CENTER,Hospital
MANDALUYONG CITY MEDICAL CENTER,Hospital
"DIVINE MERCY PSYCHIATRIC FACILITY, INC.",Psychiatric Care Facility
SAN JOSE HOME CARE SERVICES,Psychiatric Care Facility
PLAINVIEW CUSTODIAL HOME,Psychiatric Care Facility
MID (MARK IRFA DUCUSIN) CAREHOME COMPANY,Psychiatric Care Facility
SYNERGY NURSING HOMECARE CENTER CO.,Psychiatric Care Facility
"MOTHER TERESA'S HOME THAT CARES, INC.",Psychiatric Care Facility
PSYCHE HEALTH HOME CARE CLINIC,Psychiatric Care Facility
ALLIED CARE EXPERTS (ACE) MEDICAL CENTER – MANDALUYONG INC.,Hospital
"REALITY BASED THERAPEUTIC COMMUNITY, INC.",Psychiatric Care Facility
TLC CARE CENTER CORP.,Psychiatric Care Facility
MAUWAY LYING-IN CENTER,Birthing Home
PEOPLE'S LYING IN CLINIC,Birthing Home
ALCHEON MEDICAL CLINIC AND DIAGNOSTIC LABORATORY,General Clinical Laboratory
AMADO T. REYES HEALTH CENTER,Rural Health Unit
AMBULATORY HEALTH CARE INSTITUTE INCORPORATED,Ambulatory Surgical Clinic
"AMBULATORY HEALTH CARE INSTITUTE, INC. (CLINICA MANILA)",Drug Testing Laboratory
AVENTUS MEDICAL CARE INC.,Drug Testing Laboratory
"AVENTUS MEDICAL CARE, INC. - MANDALUYONG",General Clinical Laboratory
BAGONG SILANG HEALTH CENTER,Rural Health Unit
BARANGKA IBABA/ITAAS HEALTH CENTER,Rural Health Unit
BARANGKA ILAYA HEALTH CENTER,Rural Health Unit
BCC DIAGNOSTIC AND MEDICAL SERVICES CORPORATION,Drug Testing Laboratory
BCC DIAGNOSTIC AND MEDICAL SERVICES CORPORATION,General Clinical Laboratory
BLOCK 37 HEALTH CENTER,Rural Health Unit
BLOCK 38 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit
BLOCK 39 (WELFAREVILLE) HEALTH CENTER,Rural Health Unit
BUAYANG BATO HEALTH CENTER,Rural Health Unit
CARDINAL SANTOS KIDNEY CARE CENTER,Dialysis Clinic
"CENTER FOR HEALTH SERVICES, INC. - MANDALUYONG",General Clinical Laboratory
D' MICROASIA MEDICAL LABORATORY INC.,Drug Testing Laboratory
D' MICROASIA MEDICAL LABORATORY INC.,General Clinical Laboratory
DAANG BAKAL HEALTH CENTER AND MEGA CLINIC,Rural Health Unit
"DETOXICARE  MOLECULAR DIAGNOSTICS LABORATORY, INC.",Clinical Laboratory for Molecular Pathology
"DETOXICARE MOLECULAR DIAGNOSTIC LABORATORY, INC.",Drug Testing Laboratory
DETOXICARE MOLECULAR DIAGNOSTICS LABORATORY,COVID-19 Testing Laboratory
DETOXICARE MOLECULAR DIAGNOSTICS LABORATORY INC.,General Clinical Laboratory
DISTRICT HEALTH OFFICE III - MAMAMANSAN,Provincial Department of Health Office
DISTRICT HEALTH OFFICE IV - MUNTIPARLASPA,Provincial Department of Health Office
DR. VICTOR R. POTENCIANO MEDICAL CENTER,Drug Testing Laboratory
EMPLOYEES CLINIC,Rural Health Unit
GALILEO SURGICENTER,Ambulatory Surgical Clinic
GLOBAL MULTISPECIALTY HEALTH & WELLNESS CLINIC,General Clinical Laboratory
GRACE DIALYSIS CENTER,Dialysis Clinic
HARAPIN ANG BUKAS HEALTH CENTER,Rural Health Unit
HEALTH CUBE MEDICAL CLINICS,Drug Testing Laboratory
HEALTH CUBE MEDICAL CLINICS,Ambulatory Surgical Clinic
"HEALTH DELIVERY SYSTEM, INC.",Drug Testing Laboratory
"HEALTH DELIVERY SYSTEM, INC.",Ambulance Service Provider
"HEALTH DELIVERY SYSTEM, INC.",Dialysis Clinic
"HEALTH DELIVERY SYSTEMS, INC.",Ambulatory Surgical Clinic
HEALTHFIRST CLINICS,Drug Testing Laboratory
HEALTHFIRST CLINICS,Ambulatory Surgical Clinic
"HEMOTEK RENAL CENTER, INC.",Dialysis Clinic
HI-PRECISION DIAGNOSTICS PLUS,Drug Testing Laboratory
HI-PRECISION DIAGNOSTICS PLUS - MANDALUYONG,General Clinical Laboratory
HIGHWAY HILLS HEALTH CENTER,Rural Health Unit
"HMC, INC",Ambulatory Surgical Clinic
"HMC, INC. (HEALTH MEDICAL)",Drug Testing Laboratory
"INNOVATIONS FOR COMMUNITY HEALTH, INC.",General Clinical Laboratory
ISAAC LOPEZ HEALTH CENTER,Rural Health Unit
JOHNVIER LABORATORY CLINIC,General Clinical Laboratory
"LOVE YOURSELF (VINN ADVOCACY FOR LGBT - MSM), INC.",General Clinical Laboratory
MABINI-J. RIZAL HEALTH CENTER,Rural Health Unit
MAGNIFICAT DIAGNOSTIC INC.,Drug Testing Laboratory
MAGNIFICAT DIAGNOSTIC INC.,General Clinical Laboratory
MAKABAYAN HEALTH CENTER,Rural Health Unit
MALAMIG HEALTH CENTER,Rural Health Unit
MANDALUYONG CITY HEALTH LABORATORY,General Clinical Laboratory
MANDALUYONG CITY HEALTH OFFICE,City Health Office
MANDALUYONG SOCIAL HYGIENE CLINIC,Social hygiene Clinic
MAUWAY HEALTH CENTER AND LYING IN CLINIC,Rural Health Unit
MBD MEDICAL AND DIAGNOSTIC CLINIC,General Clinical Laboratory
MBD MEDICAL AND DIAGNOSTIC CLINIC CORPORATION,Drug Testing Laboratory
"MC LAB HEALTH CARE SOLUTIONS, INC.",Drug Testing Laboratory
"MC LAB HEALTH CARE SOLUTIONS, INC.",General Clinical Laboratory
MD PARTNERS DIAGNOSTIC SERVICES INC.,General Clinical Laboratory
MEGASON DIAGNOSTIC CLINIC - MANDALUYONG,General Clinical Laboratory
METRO MANILA CENTER FOR HEALTH DEVELOPMENT,Center for Health Development
MY HEALTH CLINIC - MANDALUYONG CITY,Drug Testing Laboratory
MYHEALTHYWAY CLINIC AND LABORATORY CORP.,Medical Facility for Overseas Workers & Seafarers
NAMAYAN HEALTH CENTER,Rural Health Unit
NATIONAL CENTER FOR MENTAL HEALTH,Drug Testing Laboratory
"NEPHRO SYSTEMS PHILS, INC.",Dialysis Clinic
NEPHROCARE,Dialysis Clinic
"NEPHROLOGY BASICS DIALYSIS CENTER, INC.",Dialysis Clinic
NOVUS-RENALCARE,Dialysis Clinic
OUR DIALYSIS CENTER OPC,Dialysis Clinic
PAG-ASA HEALTH CENTER,Rural Health Unit
PATIENT'S CHOICE MEDICAL & INDUSTRIAL LABORATORY,General Clinical Laboratory
PATIENT'S CHOICE MEDICAL & INDUSTRIAL LABORATORY,Drug Testing Laboratory
PEOPLE'S HEALTH CENTER,Rural Health Unit
PHILIPPINE OVERSEAS WORKERS MEDICAL & DIAGNOSTIC CENTER INC.,Medical Facility for Overseas Workers & Seafarers
PHILIPPINE RED CROSS - NATIONAL HEADQUARTERS,Ambulance Service Provider
PHILIPPINE RED CROSS LOGISTICS AND MULTIPURPOSE CENTER,COVID-19 Testing Laboratory
PLAINVIEW HEALTH CENTER,Rural Health Unit
PLEASANT HILLS HEALTH CENTER AND LYING IN CLINIC,Rural Health Unit
POBLACION HEALTH CENTER,Rural Health Unit
POPCOM FAMILY WELLNESS CLINIC,Ambulatory Surgical Clinic
POPCOM WAREHOUSE,Central Warehouse - Temperature Controlled
PRC - NATIONAL BLOOD CENTER,Blood Service Facility
SAFEGUARD DNA DIAGNOSTIC INC.,Drug Testing Laboratory
SAFEGUARD DNA DIAGNOSTICS INC.,General Clinical Laboratory
SAN JOSE HEALTH CENTER,Rural Health Unit
SANIBOY HEALTH CENTER,Rural Health Unit
SENTROTEK CORPORATION,Laboratory for Drinking Water Analysis
"SKYWOOD HEALTH SERVICES, INC./ MY HEALTH CLINIC",Ambulatory Surgical Clinic
ST. MICHAEL'S MEDICAL CLINIC & DIAGNOSTIC CENTER,Drug Testing Laboratory
ST. MICHAEL'S MEDICAL CLINIC AND DIAGNOSTIC CENTER - MANDALUYONG,General Clinical Laboratory
STAR ALLIANCE DIAGNOSTICS & MARKETING SERVICES,Drug Testing Laboratory
STO. DOMINGO DIAGNOSTIC AND MEDICAL CENTER CORPORATION,Drug Testing Laboratory
STO. DOMINGO DIAGNOSTIC MEDICAL CENTER CORP. - MANDALUYONG,General Clinical Laboratory
STONE & PROSTATE CENTER VRPMC (LASER CENTER),Ambulatory Surgical Clinic
TC MEDICAL LABORATORY,General Clinical Laboratory
"THE AMERICAN EYE CENTER, INC.",Ambulatory Surgical Clinic
THE MEDICAL CITY CLINIC @ SM LIGHT MALL,General Clinical Laboratory
THE MEDICAL CITY CLINIC @ SM LIGHT MALL,Drug Testing Laboratory
THE MEDICAL CITY CLINIC @ SM SHAW,General Clinical Laboratory
"THE MEGA CLINIC, INC.",Ambulatory Surgical Clinic
"THE MEGACLINIC, INC",Ambulatory Surgical Clinic
"THE MEGACLINIC, INC.",Drug Testing Laboratory
THERAPY MANAGEMENT SERVICES PHILS. INC.,Dialysis Clinic
"TULAY LINGAP NI PADRE PIO, INC.",Drug Testing Laboratory
"TULAY LINGAP NI PADRE PIO, INC.",Ambulatory Surgical Clinic
UNIMED DIAGNOSTIC CENTER CORP.,Drug Testing Laboratory
VERGARA HEALTH CENTER,Rural Health Unit
WELFAREVILLE (MAIN) HEALTH CENTER,Rural Health Unit
ZANIGA HEALTH CENTER,Rural Health Unit
UP-PHILIPPINE GENERAL HOSPITAL,Hospital
DR. JOSE FABELLA MEMORIAL HOSPITAL,Hospital
UNIVERSITY OF SANTO TOMAS HOSPITAL,Hospital
CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,Hospital
SAN LAZARO HOSPITAL,Hospital
JOSE R. REYES MEMORIAL MEDICAL CENTER,Hospital
MANILA DOCTORS HOSPITAL,Hospital
METROPOLITAN MEDICAL CENTER,Hospital
OSPITAL NG MAYNILA MEDICAL CENTER,Hospital
STA. ANA HOSPITAL,Hospital
OUR LADY OF LOURDES HOSPITAL,Hospital
MEDICAL CENTER MANILA INC.,Hospital
TONDO MEDICAL CENTER,Hospital
GAT ANDRES BONIFACIO MEMORIAL MEDICAL CENTER,Hospital
JUSTICE JOSE ABAD SANTOS GENERAL HOSPITAL,Hospital
HOSPITAL OF THE INFANT JESUS MEDICAL CENTER,Hospital
"MARY JOHNSTON HOSPITAL, INC.",Hospital
"MARY CHILES GENERAL HOSPITAL, INC.",Hospital
SEAMEN'S HOSPITAL,Hospital
"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC.",Hospital
OSPITAL NG SAMPALOC,Hospital
OSPITAL NG TONDO,Hospital
ST. JUDE GENERAL HOSPITAL AND MEDICAL CENTER,Hospital
DE OCAMPO MEMORIAL MEDICAL CENTER,Hospital
PRESIDENTIAL SECURITY COMMAND STATION HOSPITAL,Infirmary
CURE AND CARE MATERNITY HOSPITAL OPC,Hospital
"TRINITY WOMAN AND CHILD CENTER ""THE BIRTHPLACE""",Hospital
METRO DOCTORS CLINIC & LYING IN,Birthing Home
Tondo Forshore Super Health Center & Lying-In Clinic,Birthing Home
EMILIO AGUINALDO COLLEGE,Birthing Home
MONTINOLA MATERNITY CLINIC,Birthing Home
OUR MOTHER OF PIAT MEDICAL MATERNITY & LYING IN CLINIC,Birthing Home
VICTORY LYING-IN CLINIC,Birthing Home
ALAMEDA MEDICAL AND DENTAL CENTRE,Birthing Home
ANGELS OF MARY BIRTHING CLINIC,Birthing Home
FAJARDO MEDICAL CLINIC,Birthing Home
MCC CHILDBIRTH & WOMEN'S CENTER,Birthing Home
DE OCAMPO MEMORIAL COLLEGE INC.,Birthing Home
"LIKHAAN CENTER FOR WOMEN'S HEALTH, INC.",Birthing Home
1 SEALANDERS MEDICAL CLINIC OPC,Medical Facility for Overseas Workers & Seafarers
4L DIAGNOSTIC CENTER,Medical Facility for Overseas Workers & Seafarers
ABC DIAGNOSTIC CLINIC,General Clinical Laboratory
ABIARD DIAGNOSTICS MEDICAL LABORATORY,General Clinical Laboratory
AC MOLECULAR DIAGNOSTIC LABORATORY,COVID-19 Testing Laboratory
ACCU-MED MANILA DIAGNOSTIC AND LABORATORY CORP.,General Clinical Laboratory
ACE COR MEDICAL SERVICES,Ambulance Service Provider
ACTFA MEDICAL LABORATORY & DIAGNOSTICS CORP.,General Clinical Laboratory
AIM DIAGNOSTIC LABORATORY,General Clinical Laboratory
AMERICAN OUTPATIENT CLINIC,Drug Testing Laboratory
AMERICAN OUTPATIENT CLINIC,Medical Facility for Overseas Workers & Seafarers
AMOSUP SEAMEN'S HOSPITAL,Medical Facility for Overseas Workers & Seafarers
ANONAS DIAGNOSTIC CLINIC,General Clinical Laboratory
ARAN'S MEDICAL AND DIAGNOSTIC CLINIC,General Clinical Laboratory
ARCHERS AMBULANCE SERVICE,Ambulance Service Provider
ARSENIO H. LACSON HEALTH CENTER,Rural Health Unit
ASIATIC MEDICAL LABORATORIES INC.,General Clinical Laboratory
"ASIATIC MEDICAL LABORATORIES, INC.",Drug Testing Laboratory
ATANG DELA RAMA HEALTH CENTER,Rural Health Unit
"ATHENAMD DIAGNOSTIC AND MEDICAL CLINIC, OPC",Drug Testing Laboratory
"ATHENAMD DIAGNOSTIC AND MEDICAL CLINIC, OPC",Medical Facility for Overseas Workers & Seafarers
AURORA QUEZON HEALTH CENTER,Rural Health Unit
"AVENTUS MEDICAL CARE, INC.",Drug Testing Laboratory
"AVENTUS MEDICAL CARE, INC. - MANILA",General Clinical Laboratory
AVENUE DIAGNOSTIC CENTER,General Clinical Laboratory
AVENUE DIAGNOSTIC MEDICAL CLINIC & CLINICAL LABORATORY,Drug Testing Laboratory
AVERRA MEDICAL CLINIC,Ambulatory Surgical Clinic
"B. BRAUN AVITUM PHILIPPINES, INC.",Dialysis Clinic
"B. BRAUN AVITUM PHILIPPINES, INC.",Dialysis Clinic
"B. BRAUN AVITUM PHILIPPINES, INC.",Dialysis Clinic
BACOOD HEALTH CENTER,Rural Health Unit
BAGONG BARANGAY HEALTH CENTER,Rural Health Unit
BAIRAN - TRAMMEL DIAGNOSTIC CENTER,General Clinical Laboratory
BAIRAN-TRAMMELL DIAGNOSTIC CENTER,Drug Testing Laboratory
BASECO HEALTH CENTER,Rural Health Unit
BBMB LABORATORY AND DIAGNOSTIC CLINIC CORP.,Medical Facility for Overseas Workers & Seafarers
BBMB LABORATORY AND DIAGNOSTIC CLINIC CORP.,Drug Testing Laboratory
BEST DIAGNOSTIC CORP.,Medical Facility for Overseas Workers & Seafarers
BIOCROSS DIAGNOSTIC CENTER INC.,General Clinical Laboratory
BIOSCOPIC DIAGNOSTIC LABORATORY,General Clinical Laboratory
BIOSCOPIC DIAGNOSTIC LABORATORY - BRANCH,General Clinical Laboratory
"BLESSED HEART DIAGNOSTIC AND MULTI SPECIALTY CLINIC, INC.",General Clinical Laboratory
BLESSED HEART DIAGNOSTICS AND MULTI SPECIALTY CLINIC INC.,Drug Testing Laboratory
BLUE JADE KLINIKA AT LABORATORYO,General Clinical Laboratory
BO. FUGOSO HEALTH CENTER,Rural Health Unit
BO. MAGSAYSAY HEALTH CENTER,Rural Health Unit
BO. OBRERO HEALTH CENTER,Rural Health Unit
"BUDDHIST TZU CHI MEDICAL  FOUNDATION PHILIPPINES, INC.",Ambulatory Surgical Clinic
BUHAY MAHALAGA HEALTH CENTER,Rural Health Unit
BUREAU OF QUARANTINE,COVID-19 Testing Laboratory
CALABASH HEALTH CENTER,Rural Health Unit
CAREPOINT MEDICAL DIAGNOSTIC AND WELLNESS CLINIC,Medical Facility for Overseas Workers & Seafarers
"CAREPOINT MEDICAL, DIAGNOSTIC AND WELLNESS CLINIC",Drug Testing Laboratory
CBZ MEDICAL CLINIC,Medical Facility for Overseas Workers & Seafarers
CBZ MEDICAL CLINIC & DRUG TESTING CENTER,Drug Testing Laboratory
"CENTERPORT MEDICAL SERVICES, INC.",Medical Facility for Overseas Workers & Seafarers
"CENTERPORT MEDICAL SERVICES, INC.",Drug Testing Laboratory
CENTRO ESCOLAR UNIVERSITY CLINICAL LABORATORY,Drug Testing Laboratory
CENTRO ESCOLAR UNIVERSITY CLINICAL LABORATORY,General Clinical Laboratory
CENTURY PINNACLE DIAGNOSTIC AND MEDICAL CORPORATION,COVID-19 Testing Laboratory
CHINESE GENERAL HOSPITAL (CARTRIDGE - BASED PCR),COVID-19 Testing Laboratory
CHINESE GENERAL HOSPITAL (RT-PCR),COVID-19 Testing Laboratory
CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,Clinical Laboratory for Molecular Pathology
CHRISTIAN E. CANGCO MEDICAL CLINIC & LABORATORY,Drug Testing Laboratory
CHRISTIAN E. CANGCO MEDICAL CLINIC AND LABORATORY,Medical Facility for Overseas Workers & Seafarers
CITIHEALTH DIAGNOSTIC CENTER,General Clinical Laboratory
CITY GOVERNMENT EMPLOYEE'S CLINIC (CGEC),Rural Health Unit
CLEMEN'S MEDICAL CLINIC,Drug Testing Laboratory
CLEMEN'S MEDICAL CLINIC,Medical Facility for Overseas Workers & Seafarers
CLINICA PALANCA HEALTH INC.,General Clinical Laboratory
"CLINICAL OCCUPATIONAL MEDICINE & TREATMENT CENTRE, INC. (CLINICOMED, INC.)",Medical Facility for Overseas Workers & Seafarers
"CRANIO-FACIAL FOUNDATION OF THE  PHILIPPINES, INC.",Ambulatory Surgical Clinic
CTK MEDICAL & DIAGNOSTIC LABORATORY,General Clinical Laboratory
CVMC CLINIC AND SURGICENTER,Ambulatory Surgical Clinic
"CVMC CLINICS AND SURGICENTER, INC.",Dialysis Clinic
D.J.C. DRUG TESTING CENTER,Drug Testing Laboratory
DAGUPAN HEALTH CENTER,Rural Health Unit
DAPITAN HEALTH CENTER,Rural Health Unit
DEMETRIO BELMONTE HEALTH CENTER,Rural Health Unit
DEPARTMENT OF HEALTH - TAYUMAN,Central Warehouse - Ambient
DEPARTMENT OF MEDICAL MICROBIOLOGY - COLLEGE OF PUBLIC HEALTH - UP MANILA,Laboratory for Drinking Water Analysis
DIMASALANG HEALTH CENTER,Rural Health Unit
DOMINGO SANTIAGO HEALTH CENTER,Rural Health Unit
DOVAL SANTOS LABORATORY,General Clinical Laboratory
DR. DANILO V. MALLARI CLINIC & LABORATORY,General Clinical Laboratory
DR. JOSE FABELLA MEMORIAL HOSPITAL,COVID-19 Testing Laboratory
DR. JOSE FABELLA MEMORIAL HOSPITAL,Clinical Laboratory for Molecular Pathology
E.R PLUS MEDICAL AND SURGICAL CLINIC,General Clinical Laboratory
EAS DIAGNOSTIC AND MEDICAL CLINIC,Drug Testing Laboratory
EAS DIAGNOSTIC AND MEDICAL CLINIC,General Clinical Laboratory
"EASTERN DOCTORS MEDICAL SERVICES, INC.",Drug Testing Laboratory
"EASTERN DOCTORS MEDICAL SERVICES, INC.",Medical Facility for Overseas Workers & Seafarers
EASY ACCESS DIAGNOSTIC CLINIC,General Clinical Laboratory
EL ROI MEDICAL CLINIC & DIAGNOSTIC CENTER INC.,Drug Testing Laboratory
"EL ROI MEDICAL CLINIC & DIAGNOSTIC CENTER, INC.",Medical Facility for Overseas Workers & Seafarers
EL ROI MOLECULAR DIAGNOSTIC LABORATORY (CARTRIDGE - BASED PCR),COVID-19 Testing Laboratory
EL ROI MOLECULAR DIAGNOSTIC LABORATORY (RT-PCR),COVID-19 Testing Laboratory
EMMANUEL MEDICAL & DIAGNOSTIC CENTER,Drug Testing Laboratory
EMMANUEL MEDICAL AND DIAGNOSTIC CENTER,Medical Facility for Overseas Workers & Seafarers
"ERMITA MOLECULAR DIAGNOSTIC LABORATORY, INC.",COVID-19 Testing Laboratory
ESPERANZA HEALTH CENTER,Rural Health Unit
F. LANUZA HEALTH CENTER,Rural Health Unit
F. LEGARDA HEALTH CENTER,Rural Health Unit
F4K LABORATORY,General Clinical Laboratory
FILAM RESCUE VOLUNTEERS INC.,Ambulance Service Provider
"FIRST MEDICAL TEAM (F.M.T.) HEALTHCARE SPECIALIST GROUP, INC.",Medical Facility for Overseas Workers & Seafarers
"FIRST MEDICAL TEAM HEALTHCARE SPECIALIST GROUP, INC.",Drug Testing Laboratory
FORTUNE AMARIS DIAGNOSTIC CENTER,General Clinical Laboratory
FORTUNE AMARIS DRUG TESTING CENTER,Drug Testing Laboratory
GALINOS MEDICAL CLINIC INC.,Medical Facility for Overseas Workers & Seafarers
"GALINOS MEDICAL CLINIC, INC.",Drug Testing Laboratory
GRAMCARE DIAGNOSTIC CENTER INCORPORATED,Drug Testing Laboratory
"GRAMCARE DIAGNOSTIC CENTER, INC.",Medical Facility for Overseas Workers & Seafarers
H-CENTRAL MEDICAL CLINIC,General Clinical Laboratory
HANNAH MEDICAL CLINIC,Medical Facility for Overseas Workers & Seafarers
HEALTHLINE MEDICAL HEALTH SERVICES,Drug Testing Laboratory
HEALTHLINE MEDICAL HEALTH SERVICES,Medical Facility for Overseas Workers & Seafarers
HEALTHMAX DIAGNOSTIC CENTER,General Clinical Laboratory
HEALTHMED DIAGNOSTIC CORPORATION,General Clinical Laboratory
"HEALTHPLUS DIAGNOSTIC CLINIC, INC.",Medical Facility for Overseas Workers & Seafarers
"HEALTHPLUS DIAGNOSTIC CLINIC, INC.",Drug Testing Laboratory
HEALTHSCREEN CLINICAL LABORATORY CO.,Drug Testing Laboratory
HEALTHWAY QUALIMED MANILA,Medical Facility for Overseas Workers & Seafarers
HEALTHWELL DIAGNOSTIC CLINIC CO.,Medical Facility for Overseas Workers & Seafarers
HEALTHWELL DIAGNOSTIC CLINIC CO.,Drug Testing Laboratory
HEARTLAND MEDICAL & DIAGNOSTIC CENTER,Drug Testing Laboratory
HEARTLAND MEDICAL AND DIAGNOSTIC CENTER,Medical Facility for Overseas Workers & Seafarers
HEARTWELL MEDICAL AND DIAGNOSTIC CENTER CO.,Medical Facility for Overseas Workers & Seafarers
"HEARTWELL MEDICAL AND DIAGNOSTIC CENTER, CO.",Drug Testing Laboratory
"HELAL MEDICAL LABORATORY, PHARMACY & DIAGNOSTIC TRADING",Drug Testing Laboratory
"HELAL MEDICAL LABORATORY, PHARMACY AND DIAGNOSTIC TRADING",General Clinical Laboratory
"HEMOTEK RENAL CENTER, INC.",Dialysis Clinic
"HERMOSA SURGICAL CARE CENTER,  INC",Ambulatory Surgical Clinic
HI-PRECISION DIAGNOSTICS,Drug Testing Laboratory
HI-PRECISION DIAGNOSTICS,Drug Testing Laboratory
HI-PRECISION DIAGNOSTICS,Drug Testing Laboratory
HI-PRECISION DIAGNOSTICS,Drug Testing Laboratory
HI-PRECISION DIAGNOSTICS,General Clinical Laboratory
HI-PRECISION DIAGNOSTICS,General Clinical Laboratory
HI-PRECISION DIAGNOSTICS - T.M. KALAW,General Clinical Laboratory
HI-PRECISION DIAGNOSTICS - TAFT,General Clinical Laboratory
"HMC, INC. (HEALTHWAY MEDICAL)",Drug Testing Laboratory
"HMC, INC. - MANILA",General Clinical Laboratory
"HOLY ANGEL MEDICAL CLINIC, INC.",Medical Facility for Overseas Workers & Seafarers
"I.M. HEALTH MEDICAL SERVICES AND WELLNESS CENTER, INC.",Ambulatory Surgical Clinic
"I.M. HEALTH MEDICAL SERVICES AND WELLNESS CENTER, INC.",Dialysis Clinic
"IMS WELLTH CARE, INC. - MANILA",General Clinical Laboratory
"INSTITUTE OF HUMAN GENETICS, NATIONAL INSTITUTES OF HEALTH, UP, MANILA",Clinical Laboratory for Molecular Pathology
"INTERCON DIAGNOSTIC LABORATORY, INC. - BINONDO",General Clinical Laboratory
"INTERNATIONAL DIAGNOSTIC CENTER, INC.",Medical Facility for Overseas Workers & Seafarers
INTERNATIONAL HEALTH SCREENING CORPORATION,Medical Facility for Overseas Workers & Seafarers
INTERNATIONAL HEALTH SCREENING CORPORATION,Drug Testing Laboratory
INTRAMUROS HEALTH CENTER,Rural Health Unit
IPPOKRATIS DIAGNOSTIC SERVICES CENTER INC.,Medical Facility for Overseas Workers & Seafarers
"IPPOKRATIS DIAGNOSTIC SERVICES CENTER, INC.",Drug Testing Laboratory
ISIDRO MENDOZA HEALTH CENTER,Rural Health Unit
JED DIAGNOSTIC CENTER,Drug Testing Laboratory
JED DIAGNOSTIC CENTER,Medical Facility for Overseas Workers & Seafarers
JEREMIEL DIAGNOSTIC CLINIC,General Clinical Laboratory
JNCE MEDICAL & DIAGNOSTIC CLINIC,Medical Facility for Overseas Workers & Seafarers
JOSE L. GUTIERREZ CLINIC CO.,Drug Testing Laboratory
JOSE L. GUTIERREZ CLINIC CO.,Medical Facility for Overseas Workers & Seafarers
JOSE R. REYES MEMORIAL MEDICAL CENTER,COVID-19 Testing Laboratory
JOSE R. REYES MEMORIAL MEDICAL CENTER - NATIONAL CENTER FOR GERIATRIC HEALTH,Dialysis Clinic
JOSE VICENCIO HEALTH CENTER,Rural Health Unit
JUAN POSADAS HEALTH CENTER,Rural Health Unit
"KABAKA FOUNDATION, INC.",General Clinical Laboratory
"KAISER MEDICAL CENTER, INC. - ROBINSONS MANILA",General Clinical Laboratory
KIDNEY LIFE SPECIALTY CLINIC AND DIALYSIS CENTER,Dialysis Clinic
"KIDNEYPRO DIALYSIS CENTER, INC.",Dialysis Clinic
KONSULTA & RESULTA MEDICAL CLINIC & LABORATORY,General Clinical Laboratory
"LA SANTE MEDICAL & DIAGNOSTIC CENTER, INC.",Medical Facility for Overseas Workers & Seafarers
"LA SANTE MEDICAL AND DIAGNOSTIC CENTER, INC.",Drug Testing Laboratory
"LASER AESTHETICS AND VISION  INSTITUTE, INC",Ambulatory Surgical Clinic
LEANN-DREW DRUG TESTING AND DIAGNOSTIC CENTER,Drug Testing Laboratory
LIVEWELL DIALYSIS CENTER OF MANILA INC.,Dialysis Clinic
"LLN MEDICAL SERVICES, INC.",Medical Facility for Overseas Workers & Seafarers
"LLN MEDICAL SERVICES, INC.",Drug Testing Laboratory
LUZVIMINDA HEALTH CENTER,Rural Health Unit
M. EARNSHAW HEALTH CENTER,Rural Health Unit
M. ICASIANO HEALTH CENTER,Rural Health Unit
MA. CLARA HEALTH CENTER,Rural Health Unit
"MABINI MEDICAL CLINIC, INC.",Medical Facility for Overseas Workers & Seafarers
MANILA DIAGNOSTIC CENTER FOR OFW INC.,COVID-19 Testing Laboratory
MANILA DOCTORS HOSPITAL,COVID-19 Testing Laboratory
MANILA DOCTORS HOSPITAL,Clinical Laboratory for Molecular Pathology
MANILA DOCTORS HOSPITAL,Drug Testing Laboratory
MANILA DOCTORS HOSPITAL,Medical Facility for Overseas Workers & Seafarers
MANILA ENDOCRINE LABORATORY,General Clinical Laboratory
"MANILA EYE AND SURGICAL CENTER, INC.",Ambulatory Surgical Clinic
MANILA HEALTH DEPARTMENT - PUBLIC HEALTH LABORATORY,Laboratory for Drinking Water Analysis
MANILA HEALTH DEPARTMENT - PUBLIC HEALTH LABORATORY,Drug Testing Laboratory
MANILA SOCIAL HYGIENE CLINIC,Social hygiene Clinic
MARIA CLARA HEALTH CENTER,Rural Health Unit
"MARITIME CLINIC FOR INTERNATIONAL SEAFARERS, INC.",Medical Facility for Overseas Workers & Seafarers
"MARITIME CLINIC FOR INTERNATIONAL SEAFARERS, INC.",Drug Testing Laboratory
"MARITIME MEDICAL AND LABORATORY CLINIC, INC.",Drug Testing Laboratory
"MARITIME MEDICAL AND LABORATORY CLINIC, INC.",Medical Facility for Overseas Workers & Seafarers
MCSA MEDICAL AND DIAGNOSTIC CLINIC,Medical Facility for Overseas Workers & Seafarers
